,First_link,Change,Final_link,Title,Price
0,http://123mi.ru/1/contract.php?r=1&n=1&m=1,n=1,http://123mi.ru/1/contract.php?r=1&n=1&m=1,Прогноз дорожной ситуации на базе статистических данных для оптимизации движения общественного транспорта в реальном времени.,57400
0,http://123mi.ru/1/contract.php?r=1&n=1&m=1,n=2,http://123mi.ru/1/contract.php?r=1&n=1&m=2,Прогноз дорожной ситуации на базе статистических данных для оптимизации движения общественного транспорта в реальном времени.,53300
0,http://123mi.ru/1/contract.php?r=1&n=1&m=1,n=3,http://123mi.ru/1/contract.php?r=1&n=1&m=3,Прогноз дорожной ситуации на базе статистических данных для оптимизации движения общественного транспорта в реальном времени.,49200
0,http://123mi.ru/1/contract.php?r=1&n=1&m=1,n=4,http://123mi.ru/1/contract.php?r=1&n=1&m=4,Прогноз дорожной ситуации на базе статистических данных для оптимизации движения общественного транспорта в реальном времени.,45100
0,http://123mi.ru/1/contract.php?r=1&n=1&m=1,n=5,http://123mi.ru/1/contract.php?r=1&n=1&m=5,Прогноз дорожной ситуации на базе статистических данных для оптимизации движения общественного транспорта в реальном времени.,41000
0,http://123mi.ru/1/contract.php?r=1&n=2&m=1,n=1,http://123mi.ru/1/contract.php?r=1&n=2&m=1,"Аддитивные технологии и оптимизация геометрии машин и механизмов
Additive technologies and optimization of the geometry of machines and mechanisms.",39360
0,http://123mi.ru/1/contract.php?r=1&n=2&m=1,n=2,http://123mi.ru/1/contract.php?r=1&n=2&m=2,"Аддитивные технологии и оптимизация геометрии машин и механизмов
Additive technologies and optimization of the geometry of machines and mechanisms.",36080
0,http://123mi.ru/1/contract.php?r=1&n=2&m=1,n=3,http://123mi.ru/1/contract.php?r=1&n=2&m=3,"Аддитивные технологии и оптимизация геометрии машин и механизмов
Additive technologies and optimization of the geometry of machines and mechanisms.",32800
0,http://123mi.ru/1/contract.php?r=1&n=2&m=1,n=4,http://123mi.ru/1/contract.php?r=1&n=2&m=4,"Аддитивные технологии и оптимизация геометрии машин и механизмов
Additive technologies and optimization of the geometry of machines and mechanisms.",0
0,http://123mi.ru/1/contract.php?r=1&n=2&m=1,n=5,http://123mi.ru/1/contract.php?r=1&n=2&m=5,"Аддитивные технологии и оптимизация геометрии машин и механизмов
Additive technologies and optimization of the geometry of machines and mechanisms.",0
0,http://123mi.ru/1/contract.php?r=1&n=3&m=1,n=1,http://123mi.ru/1/contract.php?r=1&n=3&m=1,Аддитивные технологии в производстве кондитерских изделий – от геометрии к новым органолептическим качествам.,90200
0,http://123mi.ru/1/contract.php?r=1&n=3&m=1,n=2,http://123mi.ru/1/contract.php?r=1&n=3&m=2,Аддитивные технологии в производстве кондитерских изделий – от геометрии к новым органолептическим качествам.,82000
0,http://123mi.ru/1/contract.php?r=1&n=3&m=1,n=3,http://123mi.ru/1/contract.php?r=1&n=3&m=3,Аддитивные технологии в производстве кондитерских изделий – от геометрии к новым органолептическим качествам.,73800
0,http://123mi.ru/1/contract.php?r=1&n=3&m=1,n=4,http://123mi.ru/1/contract.php?r=1&n=3&m=4,Аддитивные технологии в производстве кондитерских изделий – от геометрии к новым органолептическим качествам.,0
0,http://123mi.ru/1/contract.php?r=1&n=3&m=1,n=5,http://123mi.ru/1/contract.php?r=1&n=3&m=5,Аддитивные технологии в производстве кондитерских изделий – от геометрии к новым органолептическим качествам.,0
0,http://123mi.ru/1/contract.php?r=1&n=4&m=1,n=1,http://123mi.ru/1/contract.php?r=1&n=4&m=1,Муравьиный алгоритм как инструмент оптимизации в многофакторном анализе экологических последствий внедрения новых технологий.,90200
0,http://123mi.ru/1/contract.php?r=1&n=4&m=1,n=2,http://123mi.ru/1/contract.php?r=1&n=4&m=2,Муравьиный алгоритм как инструмент оптимизации в многофакторном анализе экологических последствий внедрения новых технологий.,82000
0,http://123mi.ru/1/contract.php?r=1&n=4&m=1,n=3,http://123mi.ru/1/contract.php?r=1&n=4&m=3,Муравьиный алгоритм как инструмент оптимизации в многофакторном анализе экологических последствий внедрения новых технологий.,73800
0,http://123mi.ru/1/contract.php?r=1&n=4&m=1,n=4,http://123mi.ru/1/contract.php?r=1&n=4&m=4,Муравьиный алгоритм как инструмент оптимизации в многофакторном анализе экологических последствий внедрения новых технологий.,0
0,http://123mi.ru/1/contract.php?r=1&n=4&m=1,n=5,http://123mi.ru/1/contract.php?r=1&n=4&m=5,Муравьиный алгоритм как инструмент оптимизации в многофакторном анализе экологических последствий внедрения новых технологий.,0
